"","Participants","Intervention Description(s)","Intervention Characteristics","Control","Included Outcomes (Scale) & Evidence of Effectiveness in Between Subject Statistics","Authors' Key Conlclusion"
"Ratanasiripong 2015","N = 60

Mean age [years] = 19.27

Female percentage = NA
Male percentage = NA
Diverse gender percentage = NA","""Participants in the mindfulness 
meditation group also received two trainings; however, they 
were taught Vipassana meditation""

","Intervention's duration [days]: 28
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Vipassana
Meditation category: Deconstructive Family","non-treatment control","Stress (PSS):  N 

Anxiety (state) (STAI):  N 

     ","""Findings indicated
that biofeedback significantly reduced anxiety and main-
tained stress levels in nursing students."""
"Sloan 2016","N = 41

Mean age [years] = 22

Female percentage = 65.85 %
Male percentage = 34.15 %
Diverse gender percentage = 0 %","""guided audio-recorded breathing meditation""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 9
Frequency [sessions per week]: 0.99
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info)
Meditation category: Attentional Family","non-treatment control","Stress (PSS):  Y 

      ","""he breathing meditation technique
demonstrated itself to be an effective strategy for undergraduate students to manage their
self-perceived stress."""
"Nidich 2009","N = 207

Mean age [years] = 25.5

Female percentage = 58.94 %
Male percentage = 41.06 %
Diverse gender percentage = 0 %","""The TM technique [...] that allows the
ordinary thinking process to become more quiescent and a
unique psychophysiologic state of “restful alertness” to be
gained.28 This distinctive state of restful alertness,28,29 is char-
acterized by decreased respiration rates, sympathetic tone and
hypothalamic–pituitary–adrenal axis activity,30,31 and high
electroencephalography coherence.32""
""The TM technique was taught in a seven-step course33 as
follows: (i) group introductory lecture on potential benefits
and previous research (90 min); (ii) group preparatory lec-
ture, discussing the mechanics and origin of the TM tech-
nique (90 min); (iii) personal interview (10 min); (iv) personal
instruction session (90 min); (v–vii) group “verification and
validation of the practice” sessions on 3 consecutive days fol-
lowing personal instruction, verifying correctness of TM prac-
tice, and providing the understanding of the mechanics of the
TM technique""

","Intervention's duration [days]: 90
Single Session's duration [minutes]: 20
Frequency [sessions per week]: NA
Delivery mode: NA
Meditation Technique: Transcendental Meditation (TM)
Meditation category: Attentional Family","waitlist control","Stress (POMS):  Y 

Anxiety (trait) (POMS):  Y 

Depression (trait) (POMS):  Y 

    ",""" Tm program, decreased bP in association with
decreased psychological distress, and increased coping in young
adults at risk for hypertension."""
"Barry 2019","N = 82

Mean age [years] = 38.14

Female percentage = 70.83 %
Male percentage = 29.17 %
Diverse gender percentage = 0 %","- spoken guided mindfulness practice of breath awarenes

""The survey questionnaire and a sealed
trial pack (including mindfulness CD, instructions,
and record sheet for the intervention group [...]) were posted to the participants.""
""spoken guided mindfulness practice of
breath awarenes""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 30
Frequency [sessions per week]: 5
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info)
Meditation category: Attentional Family","non-treatment control","Depression (trait) (DASS):  Y 

Anxiety (trait) (DASS):  N 

Stress (DASS, PSS):  N 

Self-efficacy (PCQ):  Y 

Resilience Scale (PCQ):  Y 

Hope (PCQ):  Y 

Optimism or positive attributional style (PCQ):  N 

","- self-administered mindfulness practice is effective
    + on psychological health and
    + psychological capital
- mindfulness meditation more as complimentary than as alternative strategy

""These results highlight the effectiveness of
self-administered mindfulness practice on the psychological health of doctoral candidates,
and the positive effect on psychological capital is reported as a key finding""
""mindfulness meditation
should be a complimentary strategy [...] not an alternative to managing challenges"""
"Chen 2013","N = 60

Mean age [years] = 19.5

Female percentage = 86.67 %
Male percentage = 13.33 %
Diverse gender percentage = 0 %","- concentrate on breathing
- eyes closed
- non-judgmentally
- become aware of their thoughts, feelings, and sensations 
- emphasis on the use of “internal eyes”
- body scan

""On day 1, participants were taught how to concentrate on breathing
with their eyes closed, and to non-judgmentally become aware of their
thoughts, feelings, and sensations while focusing on the flow of breath
through the nostrils (Wallace, 2006). ""
""This practice incorporated
traditional Chinese Buddhist cultural concepts, 5 such as emphasis on the
use of “internal eyes” to scan bodily sensations, according to the method
used in an empirical study (Yang et al., 2011).""

","Intervention's duration [days]: 7
Single Session's duration [minutes]: 30
Frequency [sessions per week]: 7
Delivery mode: Synchronous guiding
Meditation Technique: Body Scan; Breathing Exercise (no further Info)
Meditation category: Attentional Family",NA,"Anxiety (trait) (SAS):  N 

Depression (trait) (SDS):  N 

     ","- mindfulness meditation reduces anxiety syptoms
- ""Brief mindfulness meditation was beneficial for Chinese nursing students in reducing anxiety
symptoms and lowering systolic blood pressure. Individuals with moderate anxiety are most likely to benefit from a short-term mindfulness meditation program"""
"Warnecke 2011","N = 56

Mean age [years] = 23.92

Female percentage = 63.64 %
Male percentage = 34.85 %
Diverse gender percentage = 1.52 %","""mindfulness intervention""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 30
Frequency [sessions per week]: 3.3375
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info); Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","waitlist control","Stress (PSS, DASS):  Y 

Depression (trait) (DASS):  N 

Anxiety (trait) (DASS):  Y 

    ","""Mindfulness practice reduced
stress and anxiety in senior medical students.""
""The effect was maintained at
follow-up in that the mean level of each outcome at
week 16 did not significantly differ from the mean
level of outcome at week 8."""
"Gupta 2020","N = 94

Mean age [years] = 23.92

Female percentage = 42.5 %
Male percentage = 57.5 %
Diverse gender percentage = 0 %","""The treatment given was in the form of guided short meditation sessions at the end of a
scheduled class with participants. Participants were instructed to close their eyes and put
their hands on their upper legs similar to other studies involving meditation sessions""

","Intervention's duration [days]: 60
Single Session's duration [minutes]: 5
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Breathing Exercise (no further Info)
Meditation category: Attentional Family","non-treatment control","Mindfulness (trait) (MAAS):  Y 

Well-being or quality of life (SWLS):  Y 

     ","""The experiment revealed that mindfulness, mindful consumption and life satisfaction change
significantly in the treatment group after treatment as compared to the control group."""
"Johnson-Waddell 2018","N = 60

Mean age [years] = 23.92

Female percentage = 70 %
Male percentage = 30 %
Diverse gender percentage = 0 %","""participants were sent links to the mindfulness meditation training online through email, and
listened to the guided meditations online through YouTube""

","Intervention's duration [days]: 35
Single Session's duration [minutes]: 10
Frequency [sessions per week]: NA
Delivery mode: Asynchronous guiding
Meditation Technique: Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","non-treatment control","Mindfulness (trait) (MAAS):  N 

      ","""Results of the dataanalysis revealed no statistically significant differences for either mindfulness or
transformational leadership."""
"Plummer 2018","N = 94

Mean age [years] = 23

Female percentage = 92.55 %
Male percentage = 7.45 %
Diverse gender percentage = 0 %","""Module 1: Enduring understanding—mindfulness of body
1.1 Introduction and what mindfulness is not
1.2 What mindfulness is/science of mindfulness
1.3 Embodiment: body as a source of unending
information and intuition
1.4 Embodiment/building self-awareness/directed
neuroplasticity
Module 2: Enduring understanding—mindfulness of
emotions
2.1 Emotional landscape: identifying and experiencing the
physiological aspects of emotion
2.2 The skill of opening to negative/unpleasant/
challenging emotions
2.3 The skill of opening to positive/pleasant emotions
2.4 Developing empathy and compassion for ourselves
and our emotional experiences
2.5 Empathy and compassion for the emotional
experiences of others in the clinical setting
Module 3: Enduring understanding—mindfulness of mind
3.1 Recognizing story-interpretation vs reality/experience
3.2 Awareness of thoughts (judging, planning, anticipating,
worrying)
3.3 Discerning appropriate use of mind
3.4 Restoration of awe (invariant cortical representations)
3.5 Applying appropriate use of mind in the clinical setting
Module 4: Enduring understanding—mindfulness of
experience
4.1 The pause: from compulsion/autopilot to
choice/presence
4.2 Recognizing sensations, emotions, thoughts
4.3 Learning to be with what is
4.4 Moving from reacting to responding skillfully in the
clinical setting
4.5 Reflection and integration: living and working mindfully""

","Intervention's duration [days]: 140
Single Session's duration [minutes]: 90
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","non-treatment control","Stress (PSS):  N 

Mindfulness (trait) (CAMS-R):  N 

Well-being or quality of life (WHO-QOL-BREF):  N 

Acceptance (CAMS-R):  N 

   ","""There were no statistically significant
effects on participants’ stress levels or quality of life, yet there was a statistically significant increase in overall
mindfulness (
P < .05). """
"Janowiak 1994","N = 62

Mean age [years] = 23

Female percentage = NA
Male percentage = NA
Diverse gender percentage = NA","Intervention 1 (mantra meditation):
NA

Intervention 2 (Shavasana):
NA

","Intervention 1:
Intervention's duration [days]: 56
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Mantra Meditation
Meditation category: Attentional Family

Intervention 2:
Intervention's duration [days]: 56
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Shavasana
Meditation category: Attentional Family","non-treatment control","Stress (BRS)
Intervention 1:  N 

Intervention 2:  N 

      ","""Both groups showed significant increases
in scores on self-actualization; however, no Uferences were found between groups.
Meditation training was associated with larger gains in scores on measures of system-
atic relaxed behavior than of the relaxation training."""
"Oman 2007","N = 31

Mean age [years] = 23

Female percentage = 79.55 %
Male percentage = 20.45 %
Diverse gender percentage = 0 %","""form of sitting meditation""
""also offers corollary
practices and supports for deepening meditation and for integrating meditative states of mind
into daily living""
""Focused attention; Recalling the
mind to a cue word; etc. Slowing down; Detachment; etc.Readings reflecting meditative perspective""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 90
Frequency [sessions per week]: 1
Delivery mode: Synchronous guiding
Meditation Technique: Mantra Meditation; Only ""Focused Attention Meditation"" named; Other: Readings reflecting meditative perspective
Meditation category: Attentional Family","waitlist control","Religiosity or spirituality or religious coping (Positve coping subscale (adapted from scales of the Fetzer Institute)):  N 

      ","""There were no significant changes in positive religious coping. ""
""Compared to a control group, both interventions
decreased negative religious coping (d = − 0.80, p < .01) and images of God as mainly
controlling (d = − .73, p < .01). One intervention provided more training in tools for learn-
ing from community and tradition-based spiritual exemplars. It produced gains in famous
or traditional spiritual exemplars’ perceived influence (d = + .81, p < .05) and availabil-
ity (d = + .66, p < .10), in self-efficacy for learning from spiritual exemplars (d = + .92,
p < .05), and in nonmaterialistic aspirations (d = + 0.65, p < .05)."""
"Weytens 2014","N = 77

Mean age [years] = 22.29

Female percentage = 77.22 %
Male percentage = 22.78 %
Diverse gender percentage = 0 %","""This training was a
French adaptation of the training proposed by Fredrickson et al.
[65]""
""The longer session duration was achieved by adding
basic meditation exercises as well as by increasing the duration of
the ‘‘on-site’’ LKM exercises and of their debriefing. As in the
Fredrickson et al. study [65], the LKM group participants were
asked to practice 20 minutes of meditation at home, at least five
days a week. ""

","Intervention's duration [days]: 42
Single Session's duration [minutes]: NA
Frequency [sessions per week]: 6
Delivery mode: Synchronous guiding
Meditation Technique: Loving-Kindness Meditation
Meditation category: Constructive Family","waitlist control","Positive emotion (SHS):  N 

Well-being or quality of life (SWLS):  N 

Depression (trait) (BDI):  N 

Stress (PSS):  N 

   ","- LKM: ""effective technique to increase the well-being"" [effects p = < 0.1 was rated as significant, if 0.05 was the significance leven there would have been no significance --> no effects of LKM in our terms]

""subjects in the PER [Positive Emotion Regulation] group showed a significant increase in subjective well-being and life satisfaction and a significant
decrease in depression and physical symptoms when compared to controls""
""Overall, our results and previous literature suggest that LKM
can be an effective technique to increase the well-being """
"Bonamo 2015","N = 135

Mean age [years] = 19.46

Female percentage = 100 %
Male percentage = 0 %
Diverse gender percentage = 0 %","Intervention 1 (20-min body scan meditation):
- similar to 45-min group
- fewer and shorter pauses than 45-min group
- played by computer speakers

""with fewer and shorter pauses in the 20-min version and less
detail in the different areas of the body (e.g., the 20-min
version calls attention to all of the fingers of each hand
collectively, whereas the 45-min scan focuses on each finger
individually)""
""The recordings were played to participants
through external computer speakers.""

Intervention 2 (45-min body scan meditation):
- played by computer speakers

""The recordings were played to participants
through external computer speakers.""

","Intervention 1:
Intervention's duration [days]: 1
Single Session's duration [minutes]: 20
Frequency [sessions per week]: 1
Delivery mode: Asynchronous guiding
Meditation Technique: Body Scan
Meditation category: Attentional Family

Intervention 2:
Intervention's duration [days]: 1
Single Session's duration [minutes]: 45
Frequency [sessions per week]: 1
Delivery mode: Asynchronous guiding
Meditation Technique: Body Scan
Meditation category: Attentional Family","non-treatment control","Mindfulness (state) (TMS)
Intervention 1:  N 

Intervention 2:  N 

Anxiety (state) (STAI)
Intervention 1:  N 

Intervention 2:  N 

     ","- mindfulness: compared to the control group, self-reported mean levels of state mindfulness
were significantly higher after the meditation exercise for the
20-min group, with no difference between the control and 45-
min group
- state anxiety: No group differences

""However, a follow-up analysis of covariance (ANCOVA)
controlling for symptoms of depression and anxiety, attention
problems, and trait mindfulness showed that compared to the
control group, self-reported mean levels of state mindfulness
were significantly higher after the meditation exercise for the
20-min group, with no difference between the control and 45-
min group. No group differences were found across the three
groups on changes in self-report ratings of state anxiety."""
"Smith 2021","N = 14

Mean age [years] = 19.46

Female percentage = 78.57 %
Male percentage = 21.43 %
Diverse gender percentage = 0 %","""The practices include mindfulness of the sensations
of the breath, mindfulness toward sensations and experiences
of the body, and mindfulness toward the contents of the mind.
In addition, the meditations encourage the practitioner to use
the skill of mental noting to label their mental contents.""
""The meditation
practices in these modules included mindfulness toward the
sensations of the body and breath, coupled with other practices
aimed at cultivating awareness and understanding of emotions
as mental contents and the nonjudgmental stance toward
emotions, with a goal of optimizing the response to one’s""
emotions""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 10.97
Frequency [sessions per week]: 22.85
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info); Other: mindfulness toward sensations and experiences of the body, mindfulness toward the contents of the mind, skill of mental noting to label their mental contents, cultivating awareness and understanding of emotions as mental contents and the nonjudgmental stance toward emotions with a goal of optimizing the response to one’s emotions
Meditation category: Attentional Family","waitlist control","Depression (trait) (DASS):  N 

Anxiety (trait) (DASS):  N 

Stress (DASS):  N 

    ","""There were no other significant changes in mental
health for those randomized to app-delivered mindfulness. """
"Wang 2021","N = 104

Mean age [years] = 22.8

Female percentage = 55.7 %
Male percentage = 44.3 %
Diverse gender percentage = 0 %","""The instructions, de-
livered via an audio-recording of a woman researcher’s voice,
focused on teaching naïve participants the step-by-step prac-
tice of meditation without any spiritual or religious emphasis.""
""MT [Meditation Training] content was a continuum from FA [Focused Attention] to OM [Open Monitoring].

","Intervention's duration [days]: 4
Single Session's duration [minutes]: 20
Frequency [sessions per week]: 4
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info); Open Monitoring Meditation
Meditation category: Attentional Family","non-treatment control","Anxiety (state) (STAI):  N 

      ","""Relative to the
CON group, the MT or VGT groups showed a significantly reduced AB. Interestingly, regarding effects on AB performance, MT
was more effective in women, whereas VGT was more effective in men. MT, but not VGT, decreased anxiety scores from before
to after the intervention. The current results indicate that gender plays an important role in the benefits of attention training, and
thus that clinicians should take gender into consideration when implementing meditation-based therapies."""
