"","Participants","Intervention Description(s)","Intervention Characteristics","Control","Included Outcomes (Scale) & Evidence of Effectiveness in Between Subject Statistics","Authors' Key Conlclusion"
"Fish 2019","N = 72

Mean age [years] = 21

Female percentage = 95.83 %
Male percentage = 4.17 %
Diverse gender percentage = 0 %","""The program educates users how to perform mindfulness medita-
tion (see Figure 1), provides guided meditations (see Figure 2), and provides 10 free
sessions. For this study, we utilized the free sessions to ensure participants encoun-
tered no costs.""

","Intervention's duration [days]: 14
Single Session's duration [minutes]: 10
Frequency [sessions per week]: NA
Delivery mode: Asynchronous guiding
Meditation Technique: Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","non-treatment control","Depression (trait) (PHQ-9):  N 

      ","-""Repeated-measures ANOVA demonstrated a significant interaction of group by time for depression scores, supporting the hypothesis that experimental group participants would significantly decrease their depression symptom severity compared to control group participants post-intervention 
- ""Prescribed use of a gamified mindfulness meditation application 
significantly decreased depression symptom severity as measured by the PHQ-
9.""
"
"Siembor 2018","N = 21

Mean age [years] = 20.89

Female percentage = 66.67 %
Male percentage = 33.33 %
Diverse gender percentage = 0 %","""guided meditations of varying length from
3 to 30 minutes, silent meditations with bells, personalized meditations with or without guided
intro and bells, a reminder function to meditate, mindfulness notices that help you to increase
your presence in the moment, and a “store” with guided meditations by some of the world’s most
influential meditation teachers.""

","Intervention's duration [days]: 28
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Asynchronous guiding
Meditation Technique: Other: silent meditations with bells, personalized meditations with or without guided
intro and bells
Meditation category: Attentional Family","non-treatment control","Mindfulness (trait) (CAMS-R):  N 

Stress (PSS):  N 

Coping flexibility (Brief COPE):  N 

    ","""there was a significant difference in physiological
stress scores [F(1,18)=5.597, p=.029] between the two groups, with a large effect size (partial eta
squared was .237). ""
""Although not statistically
significant, the intervention group exhibited a higher overall increase in mindfulness than the control group"""
"Lee 2018","N = 163

Mean age [years] = 20.89

Female percentage = 63.19 %
Male percentage = 36.81 %
Diverse gender percentage = 0 %","""mindfulness-based
exercises through audio, video, or text files""

","Intervention's duration [days]: 28
Single Session's duration [minutes]: 10
Frequency [sessions per week]: 5
Delivery mode: Asynchronous guiding
Meditation Technique: Other: mindfulness-based exercises through audio video or text files, grounding visualization, gratitude, imagining the life you want, finding meaning
Meditation category: hybrid form","waitlist control","Stress (PSS):  N 

Anxiety (state) (STAI):  N 

Anxiety (trait) (STAI):  N 

Depression (trait) (QIDS-SR):  N 

Well-being or quality of life (RAND 36-Item Health Survey):  N 

  ","""The app did not significantly improve stress, state anxiety, physical and social functioning, and
role limitations because of physical or emotional health problems or pain (P>.05).""
""The results support hypotheses that short-term use
of DeStressify can reduce trait anxiety and improve general
health, energy, emotional well-being, and work or school
productivity in university students but do not support the other
hypotheses.""
""Mindfulness-based apps may provide an effective alternative support for university students’ mental health."""
"Bultas 2021","N = 34

Mean age [years] = 20.89

Female percentage = 85.71 %
Male percentage = 14.29 %
Diverse gender percentage = 0 %","""The experimental group participated in a brief YouTube
Pre-Exam Mindfulness Meditation exercise (Executive Mind,
2016) in a separate, quiet room approximately 20 minutes prior
to the examination""

","Intervention's duration [days]: 1
Single Session's duration [minutes]: 20
Frequency [sessions per week]: 1
Delivery mode: Asynchronous guiding
Meditation Technique: Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","non-treatment control","Stress (PSS):  N 

Resilience Scale (CD-RISC-10):  N 

Mindfulness (trait) (MAAS):  N 

    ","""Outcomes revealed decreased feelings of help -
lessness and anxiety in the intervention group. Although
students had positive views of mindfulness, barriers were
indicated."""
"Huberty 2019","N = 88

Mean age [years] = 20.89

Female percentage = NA
Male percentage = NA
Diverse gender percentage = NA","""Participants can meditate using the “daily Calm” set of guided
meditations or may choose from a number of programs offering
multiday meditations specific to goals (ie, happiness or
self-esteem). Calm also offers other individual guided and
unguided (eg, a brief introductory guidance followed by a
chosen period of silence or sounds from nature) meditations.""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 10
Frequency [sessions per week]: 3.79
Delivery mode: Asynchronous guiding
Meditation Technique: Body Scan; Breathing Exercise (no further Info); Loving-Kindness Meditation
Meditation category: hybrid form","waitlist control","Stress (PSS):  N 

Mindfulness (trait) (FFMQ):  Y 

Self-compassion (SCS-SF):  Y 

    ","""There were significant differences in all outcomes (stress, mindfulness, and
self-compassion) between the intervention and control groups after adjustment for covariates postintervention (all P<.04). These
effects persisted at follow-up (all P<.03), except for the nonreacting subscale of mindfulness (P=.08).""
""Effect sizes ranged from moderate (0.59) to large (1.24) across all outcomes.""
""The majority of students in the intervention group reported that Calm was helpful to reduce stress and stated they would use Calm
in the future."" "
"Tanner 2009","N = 195

Mean age [years] = 26.35

Female percentage = 60.63 %
Male percentage = 39.37 %
Diverse gender percentage = 0 %","""The TM technique is
described as a simple, natural, and effortless technique practiced for about
20 minutes, twice a day, while sitting comfortably with the eyes closed (Roth,
1994). Transcendental Meditation is intended to take the mind from active levels of
thinking to the state of least mental activity. This experience of restful alertness—full
self-awareness devoid of customary mental content—is called transcendental
consciousness (Maharishi, 1969; Travis & Pearson, 2000; Travis & Wallace, 1997).""

","Intervention's duration [days]: NA
Single Session's duration [minutes]: 30
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Transcendental Meditation (TM)
Meditation category: Attentional Family","waitlist control","Mindfulness (trait) (KIMS):  N 

      ","-""First, it appears that the interrelations among mindfulness
components differ for meditators and nonmeditators, but this may be a function of
interest in meditation rather than a result of the practice itself. Second, the TM
program can lead to increased mindfulness.""

""significant time x treatment interaction, with the TM
participants reporting greater increases in mindfulness than the
waitlist participants. All KIMS subscales were positively intercorre-
lated at pretreatment, and there were no differences over time or as
a function of treatment condition in subscale intercorrelations."""
"deGrace 1976","N = 23

Mean age [years] = 20

Female percentage = 47.83 %
Male percentage = 52.17 %
Diverse gender percentage = 0 %","- initial technique:
""Before coming here, you had to meet two requirements, namely not having
eaten for the last 4 hours or so and not having taken drugs over the last 2 weeks.
These conditions being fulfilled, I will now proceed to teach you a Zen medi-
tation technique.
During the following days, you will repeat this exercise twice a day, for 20
minutes, before the morning and evening meals. If it is impossible at that
particular time, try to do it a little later.
Thus, you should find a calm and normally lit room, somewhere between bright
daylight and darkness. Try to avoid being disturbed during the exercise by
the telephone or any other loud noise.
Then, sit in the most comfortable position for you, your spinal cord straight
and leaning against a flat vertical surface, so as not t o fall asleep. Take care
to free your abdomen to facilitate respiration.
After that, close your eyes and wait half a minute before starting the exercise
itself which consists in counting your respiration (count 1 for inspiration and
expiration) from 1 to 10, and start again at 1, and so on. If you lose count
during the exercise, do not try to recall where you were but simply start over
at 1 and keep on.
During the course of the exercise, you will notice that thoughts, feelings,
sensory distractions will appear; you should not try t o fight these but wait
until it becomes easy to resume the exercise.
After 20 minutes, stop the exercise and wait 3 more minutes before opening
your eyes.
You will now do the exercise in my presence; when the 20 minutes are over,
I will let you know and you will reopen your eyes 3 minutes later. You can
start now .""

- advanced technique:
""I will now teach you the advanced meditation technique which complements
the one you have been practising over the past 15 days.
During the past 2 weeks, I asked you to count your respirations from 1 to 10.
Now you will stop counting in order to concentrate on the breathing process
itself. You will breathe as usual without any effort or restraint. Your attention
should be on your inspiration and expiration. Follow the entrance of the air
through the nose down to the lungs and from there toward the outside.
Your breathing may be long or short. This is not important. Breathe naturally.
The only important thing is that when your breathing is short, you are aware
of it and the same when it is long.
You will now proceed, together, according to this new modality.""

","Intervention's duration [days]: 152
Single Session's duration [minutes]: 20
Frequency [sessions per week]: 14
Delivery mode: NA
Meditation Technique: Zen Meditation
Meditation category: Attentional Family","waitlist control","Self-acceptance (CPI):  N 

Well-being or quality of life (CPI):  N 

     ","-""While both groups were equivalent at pretest time, significant differences on the Do and Cs scales of the CPI were found  at the  posttest"""
"Messer 2016","N = 72

Mean age [years] = 20

Female percentage = 66.88 %
Male percentage = 33.12 %
Diverse gender percentage = 0 %","""Mindfulness training derived from homework exercises 
used in Kabat-Zinn’s (1982) mindfulness-based stress 
reduction curriculum. Three guided meditations were pro
-
vided to participants in the form of audio clips over the 
course of the three-week intervention with one new exer
-
cise being provided each week.""

","Intervention's duration [days]: 21
Single Session's duration [minutes]: 16
Frequency [sessions per week]: NA
Delivery mode: Asynchronous guiding
Meditation Technique: Body Scan; Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","non-treatment control","Stress (PSS):  Y 

Mindfulness (trait) (FFMQ):  N 

     ","""Both mindfulness
and relaxation reduced stress, but only mindfulness training increased mindfulness and reduced emotion-focused coping."""
"Vasiliauskas 2013","N = 363

Mean age [years] = 21

Female percentage = NA
Male percentage = NA
Diverse gender percentage = NA","Intervention 1 (prayer intervention group):
""Those assigned to the attention
group and the prayer intervention group were informed that over
the next 16 days they would be e-mailed 16 brief devotional
readings to ponder. The readers received randomly selected daily
meditations taken from a widely used devotional book designed
for Christian readers titled, My Utmost for His Highest (Chambers,
1992).""
""In contrast to the attention group, participants in the
prayer intervention condition received forgiveness meditations""
""These mediations were
focused on forgiveness and highlighted four particular themes
throughout: prayer for guidance, asking God for help in forgiving,
revealing pain to God, and letting go of the burden.""
""At the end of the forgiveness
mediations was a request for the participant to spend 10 min in
prayer each day.""

Intervention 2 (devotional attention group):
""The attention group was intended to provide all the attention
from the experimenter that occurred in the experimental condition,
and in a similar meditative format, but without addressing the
topics of prayer and forgiveness. ""
""Those assigned to the attention
group and the prayer intervention group were informed that over
the next 16 days they would be e-mailed 16 brief devotional
readings to ponder. The readers received randomly selected daily
meditations taken from a widely used devotional book designed
for Christian readers titled, My Utmost for His Highest (Chambers,
1992).""

","Intervention 1:
Intervention's duration [days]: 16
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Asynchronous guiding
Meditation Technique: Prayer; Other: devotional readings to ponder, meditations taken from a widely used devotional book designed for Christian readers titled, forgiveness meditations
Meditation category: hybrid form

Intervention 2:
Intervention's duration [days]: 16
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Asynchronous guiding
Meditation Technique: Other: devotional readings to ponder, meditations taken from a widely used devotional book designed for Christian readers titled
Meditation category: Deconstructive Family","non-treatment control","Empathy (BEA)
Intervention 1:  N 

Intervention 2:  N 

      ",""" Those in the prayer and
devotional attention groups showed significant changes in state forgiveness. Also, participants in the
prayer intervention group showed significant changes in empathy toward their offender. Implications
are considered."""
"Nolan 2020","N = 66

Mean age [years] = 21

Female percentage = 78.79 %
Male percentage = 21.21 %
Diverse gender percentage = 0 %","breathing, ""awareness to any sensations in their body or in their immediate environment"", focus on ""thoughts and feelings"",  ""non-judgmental observation""

","Intervention's duration [days]: NA
Single Session's duration [minutes]: 10
Frequency [sessions per week]: 4.19
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info); Other: ""awareness to any sensations in their body or in their immediate environment"", focus on ""thoughts and feelings"",  ""non-judgmental observation""
Meditation category: Attentional Family","waitlist control","Mindfulness (trait) (CAMS-R):  N 

Depression (trait) (DASS):  N 

Anxiety (trait) (DASS):  N 

Stress (DASS, PSS):  N 

Well-being or quality of life (SWLS):  N 

  ","""significant decrease in perceived stress for the intervention group as
compared to the no treatment control; however, no statistically significant differences
were found on measures of psychological distress, mindfulness, and life satisfaction.
Findings suggest the use of an MBMA [headspace] may be viable as an acceptable and feasible
method of introducing stress management strategies to premedical and nursing students"""
"Dorais 2021","N = 150

Mean age [years] = 27.1

Female percentage = 84 %
Male percentage = 12.67 %
Diverse gender percentage = 3.33 %","""Centering meditation is based on an early Christian mystic
practice called centering prayer developed by the Desert Fathers
and Mothers in the third century (Keating, 2002). The focus
of centering prayer is interior silence which the early Christian
mystics to develop deeper communion with God. Like other
concentration meditations that use a symbol for focus (Goleman,
1988), practitioners select a word or symbol they hold sacred
(e.g., Shalom, hope) and use it to bring back their mind from
distractions. However, unlike many other meditations, centering
prayer focuses not on the mind but rather areas of spiritual
connection. In completative texts, it is called the “return of
the heart” (Pennington, 1980, p. 62) or “attention of the heart”
(Bourgeault, 2004, p. 113). The term centering stems from the
idea that the meditator finds their core center and awakens to
awareness of divine presence inside them.""

""1. Select a word or symbol that you consider spiritually
grounding for you (e.g., a name for God or spiritual concepts
like Shalom, hope, or joy) and represents your intention to
connect with what is spiritual to you.
2. At the beginning of the meditation, sit down comfortably with
your eyes closed (preferably away from external distractions)
and silently introduce your sacred word or symbol.
3. After you do this, you’ll probably notice distracting thoughts
emerging or mind wandering. That’s okay. When you notice
yourself becoming distracted, just ever-so-gently reintroduce
your sacred word or symbol.
4. At the end of your meditation, just sit and rest in silence or say
a prayer for a few moments.""

","Intervention's duration [days]: 28
Single Session's duration [minutes]: NA
Frequency [sessions per week]: 9
Delivery mode: Asynchronous guiding
Meditation Technique: Mantra Meditation
Meditation category: Attentional Family","waitlist control","Stress (PSS):  N 

Mindfulness (trait) (CAMS-R):  N 

     ","- ""The study findings indicate that individuals who participat
e in a 4-week
online centering intervention showed improved levels of st
ress and trait mindfulness
over time"""
"Toole 2016","N = 80

Mean age [years] = 18.79

Female percentage = 100 %
Male percentage = 0 %
Diverse gender percentage = 0 %","""three
exercises included a compassionate body scan (completed first in
the lab and then sent to participants the following two days), an
affectionate breathing exercise (sent to participants on Days 4 and
5), and a loving-kindness meditation directed toward the body
(sent to participants on Days 6 and 7)""

","Intervention's duration [days]: 7
Single Session's duration [minutes]: 20
Frequency [sessions per week]: 2.5
Delivery mode: Asynchronous guiding
Meditation Technique: Body Scan; Breathing Exercise (no further Info); Loving-Kindness Meditation
Meditation category: hybrid form","waitlist control","Self-compassion (SCS):  N 

Self-esteem (RSES):  N 

     ","""Results suggest that brief exposure to the basic tenets of self-compassion holds promise
for improving aspects of self-compassion and [body image distress] BID"""
"Schulte-Frankenfeld 2021","N = 64

Mean age [years] = 24.75

Female percentage = 64.06 %
Male percentage = 35.94 %
Diverse gender percentage = 0 %","""The training course particularly assembled for this study was designed to cover major prin-
ciples of mindfulness, stress and coping, happiness in live, meta-cognition, self-care and com-
passion""

","Intervention's duration [days]: 57
Single Session's duration [minutes]: 11.19
Frequency [sessions per week]: 2.82
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info); Other: focusing on meta-awareness, ""Mindfulness-based exercises [...] about happiness in life as the result of a benevolent attitude towards life and a positive relationship to oneself and others"", ""Methods of introspection, reflection and self-care""
Meditation category: hybrid form","waitlist control","Stress (PSS):  N 

Well-being or quality of life (LSS):  N 

Mindfulness (trait) (FMI-14):  N 

    ","""The
online mindfulness programme was found to signifi-
cantly decrease perceived stress (ηp2 = .180, a large
effect). It also increased self-regulation (ηp2 = .195, a
large effect), mindfulness (ηp2 = .174; a large effect)
and cognitive reappraisal (ηp2 = .136, a medium effect).
Increments in life satisfaction were not significant.
Changes in self-regulation were mediated by increased
mindfulness."""
